2017.09.05 (248) 00:15:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.450  432.5 -90  45  51  -5.469   0.0   0.0  446
 1.475  110.0 -90  48  54  -0.781   0.0   0.0  117
 1.475  112.5 -90  48  60  -0.781   0.0   0.0  118
 1.500  155.0  90  45  51  -3.906   0.0   0.0  151
 1.500  265.0  90  45  51  -3.906   0.0   0.0  255
 1.500  842.5  90  45  51   2.344   0.0   0.0  855
 1.500  995.0  90  45  51  -5.469   0.0   0.0  997
 1.500 1072.5  90  45  51  -5.469   0.0   0.0 1060
 1.500 1127.5  90  45  51  -3.906   0.0   0.0 1131
 1.500 1152.5  90  45  51  -5.469   0.0   0.0 1149
 1.500 1187.5  90  45  51   2.344   0.0   0.0 1176
 1.500 1262.5  90  45  51  -3.906   0.0   0.0 1275
 1.500  112.5 -90  42  57  -0.781   0.0   0.0  117
 1.525   90.0  90  42  48   0.781   0.0   0.0   86
 1.525  277.5  90  42  54   0.781   0.0   0.0  281
 1.525  565.0  90  42  48  -0.781   0.0   0.0  569
 1.525  567.5  90  42  48  -0.781   0.0   0.0  570
 1.525  587.5  90  42  48   3.906   0.0   0.0  578
 1.525  912.5  90  42  48  -5.469   0.0   0.0  901
 1.525 1120.0  90  42  48  -3.906   0.0   0.0 1106
 1.525 1190.0  90  42  48   3.906   0.0   0.0 1180
 1.525  115.0 -90  42  54  -0.781   0.0   0.0  120
 1.550  222.5 -90  42  48   0.781   0.0   0.0  220
 1.550  327.5 -90  42  48   2.344   0.0   0.0  317
 1.550  335.0 -90  42  51  -0.781   0.0   0.0  342
 1.550  785.0 -90  42  48  -2.344   0.0   0.0  787
 1.575  110.0  90  42  48  -3.906   0.0   0.0   96
 1.575  115.0  90  42  51  -3.906   0.0   0.0  126
 1.575  245.0  90  42  51   5.469   0.0   0.0  241
 1.575  282.5  90  42  48  -0.781   0.0   0.0  282
 1.575  345.0  90  42  51   5.469   0.0   0.0  346
 1.575  425.0  90  42  51   5.469   0.0   0.0  424
 1.575  500.0  90  42  48   5.469   0.0   0.0  496
 1.575  562.5  90  42  48   0.781   0.0   0.0  566
 1.575  615.0  90  42  51  -5.469   0.0   0.0  612
 1.575  405.0 -90  42  48   5.469   0.0   0.0  414
 1.575  625.0 -90  42  51  -5.469   0.0   0.0  635
 1.600  345.0  90  42  48  -5.469   0.0   0.0  355
 1.625  440.0  90  39  45   5.469   0.0   0.0  437
 1.625  462.5  90  39  45  -0.781   0.0   0.0  464
 1.625  655.0  90  39  45  -0.781   0.0   0.0  641
 1.650  282.5  90  42  48   0.781   0.0   0.0  287
 1.650  285.0  90  42  51   0.781   0.0   0.0  289
 1.650  567.5  90  42  51   0.781   0.0   0.0  574
 1.650  992.5  90  42  48  -3.906   0.0   0.0 1001
 1.650 1260.0  90  42  51  -0.781   0.0   0.0 1267
 1.650  107.5 -90  39  45  -0.781   0.0   0.0  104
 1.650  155.0 -90  39  45   5.469   0.0   0.0  166
 1.650  677.5 -90  39  45  -2.344   0.0   0.0  672
 1.650  717.5 -90  39  45  -0.781   0.0   0.0  725
 1.650  890.0 -90  39  45  -2.344   0.0   0.0  884
 1.650 1055.0 -90  39  45   0.781   0.0   0.0 1046
 1.650 1075.0 -90  39  45  -0.781   0.0   0.0 1089
 1.650 1207.5 -90  39  45   2.344   0.0   0.0 1201
 1.675  137.5  90  42  54   3.906   0.0   0.0  146
 1.675  140.0  90  42  51   5.469   0.0   0.0  143
 1.675  167.5  90  42  48  -3.906   0.0   0.0  168
 1.675  852.5  90  42  48   3.906   0.0   0.0  843
 1.675  915.0  90  42  51   5.469   0.0   0.0  902
 1.675 1010.0  90  42  51   5.469   0.0   0.0 1018
 1.675 1052.5  90  42  51   3.906   0.0   0.0 1060
 1.675 1055.0  90  42  51   3.906   0.0   0.0 1063
 1.675 1137.5  90  42  51   3.906   0.0   0.0 1140
 1.675 1182.5  90  42  48  -0.781   0.0   0.0 1189
 1.675 1197.5  90  42  51   3.906   0.0   0.0 1192
 1.675 1200.0  90  42  51   5.469   0.0   0.0 1192
 1.675  157.5 -90  39  51   3.906   0.0   0.0  154
 1.675  205.0 -90  39  45   0.781   0.0   0.0  193
 1.675  847.5 -90  39  45   5.469   0.0   0.0  858
 1.675  910.0 -90  39  45   2.344   0.0   0.0  911
 1.675 1125.0 -90  39  45   0.781   0.0   0.0 1120
 1.675 1127.5 -90  39  45   2.344   0.0   0.0 1130
 1.675 1140.0 -90  39  48   0.781   0.0   0.0 1136
 1.700  285.0  90  39  51   0.781   0.0   0.0  286
 1.700 1250.0  90  39  45  -0.781   0.0   0.0 1249
 1.700 1277.5  90  39  45   3.906   0.0   0.0 1266
 1.700  237.5 -90  39  45  -3.906   0.0   0.0  237
 1.700  305.0 -90  39  45  -3.906   0.0   0.0  291
 1.700  332.5 -90  39  45  -0.781   0.0   0.0  327
 1.700 1177.5 -90  39  45   0.781   0.0   0.0 1165
 1.725  282.5  90  36  48  -0.781   0.0   0.0  287
 1.725  285.0  90  36  48  -0.781   0.0   0.0  289
 1.725  360.0  90  36  42  -5.469   0.0   0.0  369
 1.725  380.0  90  36  42   5.469   0.0   0.0  378
 1.725  675.0  90  36  45   0.781   0.0   0.0  681
 1.725  700.0  90  36  42  -0.781   0.0   0.0  704
 1.725  860.0  90  36  42   0.781   0.0   0.0  869
 1.725  862.5  90  36  42   0.781   0.0   0.0  869
 1.725  872.5  90  36  42   0.781   0.0   0.0  874
 1.725  875.0  90  36  42  -0.781   0.0   0.0  881
 1.725 1017.5  90  36  42  -3.906   0.0   0.0 1003
 1.750  285.0  90  42  48  -0.781   0.0   0.0  289
 1.750  762.5 -90  39  45  -5.469   0.0   0.0  763
 1.775  287.5  90  48  54  -0.781   0.0   0.0  291
