2017.09.05 (248) 00:00:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.000  110.0  90  51  57   0.781   0.0   0.0  115
 1.025  715.0 -90  45  51  -0.781   0.0   0.0  726
 1.025  772.5 -90  45  51   0.781   0.0   0.0  779
 1.025  900.0 -90  45  51  -2.344   0.0   0.0  908
 1.025 1005.0 -90  45  51   0.781   0.0   0.0 1008
 1.025 1187.5 -90  45  54   5.469   0.0   0.0 1187
 1.050  107.5  90  45  57   0.781   0.0   0.0  116
 1.075   92.5  90  51  57   5.469   0.0   0.0  105
 1.075  110.0  90  51  63  -0.781   0.0   0.0  116
 1.075  112.5  90  51  63  -0.781   0.0   0.0  117
 1.075  522.5  90  51  57  -2.344   0.0   0.0  513
 1.075  545.0  90  51  57  -3.906   0.0   0.0  532
 1.075  130.0 -90  45  54  -2.344   0.0   0.0  130
 1.075  515.0 -90  45  57  -0.781   0.0   0.0  508
 1.100  112.5  90  45  63   0.781   0.0   0.0  117
 1.100  332.5  90  45  51  -0.781   0.0   0.0  339
 1.125  107.5  90  48  54   3.906   0.0   0.0  115
 1.125  110.0  90  48  54  -0.781   0.0   0.0  116
 1.125  267.5  90  48  57  -0.781   0.0   0.0  272
 1.125  270.0  90  48  57  -0.781   0.0   0.0  273
 1.125 1202.5  90  48  54  -3.906   0.0   0.0 1208
 1.125  147.5 -90  42  48   2.344   0.0   0.0  150
 1.150  947.5  90  42  48  -3.906   0.0   0.0  950
 1.150 1137.5 -90  45  51  -2.344   0.0   0.0 1147
 1.175  145.0  90  48  54  -5.469   0.0   0.0  146
 1.175  220.0  90  48  54   0.781   0.0   0.0  231
 1.175  270.0  90  48  60  -0.781   0.0   0.0  273
 1.175  272.5  90  48  54  -0.781   0.0   0.0  277
 1.175  815.0  90  48  60  -5.469   0.0   0.0  821
 1.175  817.5  90  48  60   3.906   0.0   0.0  804
 1.175  932.5  90  48  54  -0.781   0.0   0.0  939
 1.175  202.5 -90  48  54  -0.781   0.0   0.0  214
 1.175  437.5 -90  48  54  -0.781   0.0   0.0  436
 1.175  522.5 -90  48  54   0.781   0.0   0.0  524
 1.175  702.5 -90  48  54  -2.344   0.0   0.0  714
 1.175  717.5 -90  48  57   0.781   0.0   0.0  726
 1.175  737.5 -90  48  57  -2.344   0.0   0.0  750
 1.175  867.5 -90  48  54   2.344   0.0   0.0  870
 1.175  880.0 -90  48  54  -3.906   0.0   0.0  895
 1.175  937.5 -90  48  54   3.906   0.0   0.0  923
 1.200  192.5 -90  21  27  -2.344   0.0   0.0  202
 1.225  102.5  90  48  54   5.469   0.0   0.0  111
 1.225  160.0  90  48  54  -5.469   0.0   0.0  157
 1.225  270.0  90  48  57   0.781   0.0   0.0  276
 1.225 1267.5  90  48  54  -3.906   0.0   0.0 1276
 1.250  267.5  90  45  60  -0.781   0.0   0.0  273
 1.250  270.0  90  45  60  -0.781   0.0   0.0  273
