2017.09.05 (248) 12:30:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.975  340.0  90  45  60  -3.906 210.0  30.0  350
 1.975  342.5  90  45  60  -3.906 210.0  30.0  352
 1.975  345.0  90  45  60  -5.469 150.0  30.0  355
 1.975  347.5  90  45  60  -5.469 210.0  30.0  358
 1.975  350.0  90  45  60  -5.469 210.0  30.0  359
 1.975 1185.0  90  45  60  -0.781 210.0  30.0 1189
 1.975 1187.5  90  45  60  -0.781 210.0  30.0 1191
 1.975 1190.0  90  45  60  -0.781 210.0  30.0 1192
 1.975 1192.5  90  45  60  -0.781 210.0  30.0 1193
 1.975 1195.0  90  45  60  -0.781 210.0  30.0 1195
 1.975 1197.5  90  45  60  -0.781 210.0  30.0 1196
 1.975 1200.0  90  45  60  -0.781 210.0  30.0 1198
 1.975 1230.0  90  45  60  -0.781 210.0  30.0 1232
 1.975 1232.5  90  45  60  -0.781 210.0  30.0 1233
 1.975 1235.0  90  45  60  -0.781 210.0  30.0 1235
 1.975 1237.5  90  45  60  -0.781 210.0  30.0 1236
 1.975 1240.0  90  45  60  -0.781 210.0  30.0 1237
 1.975 1242.5  90  45  60  -0.781 210.0  30.0 1238
 1.975 1245.0  90  45  60  -0.781 210.0  30.0 1240
 1.975 1247.5  90  45  60   0.781 210.0  30.0 1238
 1.975 1250.0  90  45  60   0.781 210.0  30.0 1240
 1.975 1252.5  90  45  60   0.781 210.0  30.0 1242
 1.975 1255.0  90  45  60   0.781 210.0  30.0 1244
 1.975 1257.5  90  45  60   2.344 150.0  30.0 1244
 1.975 1260.0  90  45  60   2.344 150.0  30.0 1275
 1.975 1262.5  90  45  60   2.344 150.0  30.0 1248
 1.975 1265.0  90  45  60   2.344 150.0  30.0 1279
 1.975 1267.5  90  45  60   2.344 210.0  30.0 1280
 1.975 1270.0  90  45  60   2.344 210.0  30.0 1282
 1.975 1272.5  90  45  60   2.344 210.0  30.0 1283
 1.975 1275.0  90  45  60   2.344 210.0  30.0 1285
 1.975 1277.5  90  45  60   2.344 210.0  30.0 1287
 1.975 1280.0  90  45  60   2.344 210.0  30.0 1289
 2.150  252.5  90  42  57  -5.469 210.0  30.0  243
 2.150  265.0  90  42  57  -5.469  30.0  30.0  277
 2.150  267.5  90  42  57  -5.469 150.0  30.0  278
 2.150  277.5  90  42  57  -5.469 210.0  30.0  283
 2.150  292.5  90  42  57  -5.469 210.0  30.0  297
 2.150  297.5  90  42  60   5.469 210.0  30.0  300
 2.150  300.0  90  42  57   5.469 210.0  30.0  301
 2.150  302.5  90  42  57   5.469 210.0  30.0  302
 2.150  307.5  90  42  60   5.469 210.0  30.0  309
 2.150  310.0  90  42  57   5.469 210.0  30.0  309
 2.150  312.5  90  42  57   5.469 150.0  30.0  312
 2.150  317.5  90  42  60   5.469 210.0  30.0  318
 2.150  320.0  90  42  57   5.469 210.0  30.0  319
 2.150  322.5  90  42  57   5.469 150.0  30.0  320
 2.150  325.0  90  42  57   5.469 330.0  30.0  328
 2.150  327.5  90  42  57   5.469 210.0  30.0  324
 2.150  332.5  90  42  57   5.469 210.0  30.0  330
 2.150  335.0  90  42  60   5.469 210.0  30.0  332
 2.150  337.5  90  42  57   5.469 210.0  30.0  333
 2.150  340.0  90  42  57   5.469 210.0  30.0  338
 2.150  342.5  90  42  60   5.469 210.0  30.0  340
 2.150  345.0  90  42  60   5.469 210.0  30.0  341
 2.150  347.5  90  42  57   5.469  30.0  30.0  344
 2.150  350.0  90  42  57   5.469 210.0  30.0  346
 2.150  352.5  90  42  57   5.469 210.0  30.0  349
 2.150  355.0  90  42  57   5.469  30.0  30.0  351
 2.150  357.5  90  42  57   5.469 210.0  30.0  354
 2.150  360.0  90  42  57   5.469 210.0  30.0  356
 2.150  362.5  90  42  57   5.469 210.0  30.0  358
 2.150  365.0  90  42  60   5.469  30.0  30.0  361
 2.150  367.5  90  42  57   5.469 210.0  30.0  363
 2.150  370.0  90  42  57   5.469 210.0  30.0  365
 2.150  372.5  90  42  57   5.469 210.0  30.0  369
 2.150  375.0  90  42  60   5.469 210.0  30.0  370
 2.150  377.5  90  42  57   5.469 210.0  30.0  371
 2.150  380.0  90  42  57   5.469 210.0  30.0  374
